Rating,MRP,Brand,Operating_System,RAM,Display_inchs,RAM_Type,Processor,Disc Size,Disc Type
4.3,33990,ASUS,Windows 11,8 GB,15.6,DDR4,AMD,256GB,SSD
4.3,190890,MSI,Windows 11,16 GB,17.3,DDR5,Intel,1TB,SSD
4.3,174990,ASUS,Windows 11,16 GB,13.4,LPDDR5,Intel,1TB,SSD
3.5,118990,HP,Windows 11,16 GB,16.1,DDR4,AMD,1TB,SSD
4.5,63980,ASUS,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.4,54300,acer,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.2,36400,DELL,Windows 11,8 GB,15.6,DDR4,AMD,256GB,SSD
4.3,28590,ASUS,Windows 10,4 GB,15.6,DDR4,Intel,256GB,SSD
4.3,69999,DELL,Windows 11,16 GB,16,DDR4,AMD,512GB,SSD
5.0,301990,ASUS,Windows 11,32 GB,15.6,DDR5,Intel,1TB,SSD
4.3,37000,Lenovo,Windows 11,8 GB,15,DDR4,Intel,256GB,SSD
4.2,64990,Lenovo,Windows 10,16 GB,13,DDR4,Intel,512GB,SSD
4.3,42690,DELL,Windows 11,8 GB,14.96,DDR4,Intel,256GB,SSD
5.0,140990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
4.3,38990,Lenovo,Windows 10,4 GB,15,DDR4,Intel,256GB,SSD
4.3,128990,HP,Windows 11,16 GB,13.5,LPDDR4X,Intel,512GB,SSD
4.3,54999,acer,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.1,60130,acer,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.3,29490,acer,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.1,72490,DELL,Windows 11,8 GB,14,DDR4,Intel,512GB,SSD
4.3,73990,GIGABYTE,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.0,47130,acer,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.4,55600,Lenovo,Windows 10,8 GB,14,DDR4,AMD,512GB,SSD
4.4,49690,DELL,Windows 10,8 GB,14,DDR4,AMD,512GB,SSD
4.3,239990,ASUS,Windows 11,32 GB,16,DDR5,Intel,1TB,SSD
4.5,73990,MSI,Windows 10,16 GB,15.6,DDR4,Intel,512GB,SSD
4.4,52490,HP,Windows 10,8 GB,14,DDR4,AMD,512GB,SSD
4.3,41990,HP,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,29990,ASUS,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.4,50490,Nokia,Windows 10,8 GB,14,DDR4,Intel,512GB,SSD
4.4,96490,acer,Windows 10,16 GB,15.6,DDR4,Intel,1TB,HDD
4.5,74990,MSI,Windows 10,16 GB,14,LPDDR4X,Intel,512GB,SSD
4.2,51990,ASUS,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
